Nom Allo,Nom Allo (en),Description EI2,Description EI2 (en),Nom de code 
Allô Coursier Vélo,Deliverydeers Allô,"Vous avez faim et une flemme immmmmense de cuisiner ? Choisissez des plats, nos coursiers vélos s'occupent de la livraison pour toute la coloc !</p><p>L'abus de street-food est dangereux pour la santé : maximum 1 plat par habitant de la coloc.</p><p>Au menu :</p><ul><li>Pita (au choix) 🌿</li><li>Arancini (au choix) 🌿</li><li>Pizza (3 parts à choisir) 🌿</li><li>Galettes (au choix) 🌿</li><li>Poutine : [samedi uniquement] (au choix) 🌿</li></ul><p>et pour une saveur anglaise :</p><ul><li>[samedi uniquement]Fish n Chips</li></ul><p>🌿 = option vg possible. </p><p><i>Allô disponible seulement le week-end, appel entre 11h et 16h30</i>","You're hungry and you are too laaaazy to cook? Choose some dishes, our delivery men and women take care of your order for all your flatshare!</p><p>
Overconsumption of street-food is dangerous for your health: 1 dish maximum per habitant of the flat-sharing.</p><p>On the menu:</p><ul><li>Pita (you choose) 🌿</li><li>Arancini (you choose) 🌿</li><li>Pizza (3 slices to choose) 🌿</li><li>Galettes (you choose) 🌿</li><li>Poutine: [only on Saturday] (you choose) 🌿</li></ul><p>and for a more english flavour:</p><ul><li>[only on Saturday] Fish n Chips</li></ul><p>🌿 = vegetarian option available",uber
Allô Breakfast,Breakfast Allô,"Votre soirée d'hier a été fatale et vous avez-besoin de vous remettre d'aplomb ? Vous en avez marre de votre éternel bol de céréales ? Vous n'avez pas eu le temps de faire vos courses à cause du couvre-feu ? Il existe 1000 bonnes raisons de faire appel aux Cerfs gourmands et à leur petit dej 100% british.</p><p><i>Offre valable le dimanche (premier arrivé, premier servi!), possibilité de réservation à l'avance.</i>","Yesterday's party was huge and you need something to put you back on your feet? You're fed up with your bowl of cereals? You didn't have time to go grocery shopping because of the curfew? There is a thousand good reasons to call for the greedy Deers and to their 100% English breakfast.</p><p><i>Offer only available on the 02/14/21 from 6 a.m. to 3 p.m. while stocks last, possibility to book in advance.</i>",breakfast
Allô Boulangerie  ,Bakery Allô,On est samedi et vous rêvez d'un bon petit déj' mais vous avez une flemme immmmense de sortir de votre lit pour aller à la boulangerie ? Passez votre commande de pains aux chocolats et croissants aux Cerf'Lock et ils vous ramènent ce dont vous avez besoin.</p><p><i>Allô disponible le samedi uniquement</i>,It's Saturday and you dream of a good breakfast but you are to laaaazy to leave your bed to go to the bakery? Order pains aux chocolats and croissants to the Deers and they will bring you what you need.</p><p><i>Allô available on Saturday only</i>,boulangerie
Allô j'ai soif !,Drinking Allô,"On sait que vous avez la gorge un peu sèche, qu'attendez-vous pour prendre un petit remontant? Un coup de fil et on vous régale, et il y en a pour tous les goûts : soft, p'tites bières et alcools forts, et même des cocktails préparés par notre Pablo Respobar!","We know your throat is dry, so what are you waiting for to take a little pick-me-up? One phone call and the best list of all is here to provide da booze! There's something for everyone: virgin drinks, beers and strong alcohols, and even cocktails prepared by our Pablo Respobar!",cocktail
Allô Tea Time,Tea Time Allô,"Besoin d'un peu de réconfort ? Réchauffez-vous à l'anglaise à l'aide d'une bonne tasse de thé, bien accompagnée.  ",Need a bit of comfort? Warm yourself up the English way with a great cup of tea with its snacks,tea
Allô Baguette,French baguette Allô,"En bon français, tu as une envie irrépressible d’une baguette mais tu as la flemme d’aller la chercher ? Pas de soucis, on s’occupe de tout !</p><p><i>Allô disponible seulement le dimanche </i>","As the good frenchie that you are, you want a baguette but you don't want to leave your house? Don't worry, we'll take care of it!</p><p><i>Allô only available on Sunday between 6 a.m. and 11 a.m.</i>",baguette
Allô'rs on chante !,Let's sing Allô,Envie de chanter à tue-tête malgré un manque d'acolytes pour user tes cordes vocales? Un coup de fil et les Cerf'Lock t'acompagneront sur la bande son. PS : nous ne garantissons pas la qualité du chant.,Want to sing at the top of your voice but not a single sidekick is here with you? A quick phone call and the Deers accompany you on the sound track. PS: we cannot guarantee the quality of the singing.,karaoke
Allô Sainte-Béatrice,Saint-Beatrice Allô,Marre du côté gnangnan de la Saint Valentin ? Laissez-vous surprendre par la fête préférée des Cerf'Lock : la Saint-Béatrice. Nous vous concocterons le meilleur anti-date que vous n'ayez jamais vécu.</p><p><i>Allô disponible seulement le samedi</i>,Bored of a cheesy Valentine's day ? Let us surprise you with the Deers' favorite holliday : Saint-Beatrice! We will create you the best anti-date you have ever experienced!</p><p><i>Only available on Saturday</i>,beatrice
Allô Mystère,Mysterious Allô,"Appelle-nous à l'abri des oreilles indiscrètes de tes collocs et tu ne seras pas déçu. (Promis, ça n'a rien à voir avec un date arrangé gênant). </p><p><i>Allô disponible seulement le dimanche</i>","Call us without your room-mates to know and you will not be disappointed (It won't be an awkward date, we promise)",mystere
Allô Énigmes ,Riddle Allô,"Vous en êtes sûrs, vous êtes bien meilleur enquêteur que Cerf'Lock ? Prouvez-le nous autour d'un Unlock ! Vous pouvez aussi nous défier sur une série d'énigmes.",You are certain to be a better detective than Cerf'Lock? Proove it playing Unlock! You can also challenge us on a series of enigmas.,enigme
